source,source_id,query,title,manufacturer_name,frame_model,year,description,image_url,thumb_url,page_url,stolenness,license_note,relative_image_path,absolute_image_path,downloaded,prefilter_score,prefilter_decision,prefilter_reasons,width,height,aspect_ratio,edge_box_ratio_w,edge_box_ratio_h,edge_box_aspect,edge_density
bike_index,680045,road bike side,2007 Performance tirreno razza 3.0,Performance,tirreno razza 3.0,2007,52 cm road bike. Dark green frame with white tape on drop bars. there is a small bit of neo green duck tape on one end. there is a saddle bag and rear rack. the seat is terry brand and has a butterfly stiched on it.,https://files.bikeindex.org/uploads/Pu/211901/large_Screenshot_20191218-055450_Chrome.jpg,https://files.bikeindex.org/uploads/Pu/211901/small_Screenshot_20191218-055450_Chrome.jpg,https://bikeindex.org/bikes/680045,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\565cde04efb190d2.jpg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\565cde04efb190d2.jpg,True,4,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | text含 frame (+1) | text含 bag (-1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),506,900,0.5622,1.0,0.8418,0.6659,0.099419
bike_index,3219217,road bike side,2020 iGo Electric Bikes EX large Black Fat tire bike from Cos...,iGo Electric Bikes,EX large Black Fat tire bike from Costco. Very large bike,2020,"Extremely large frame as I am 6'4"" and it is big for me.  I have Key and charger so Battery will no last long.  Bike has black fenders, back carry rack, disc brakes, and stickers for Apple  on back fender and happy 'everyone needs a banner stickers on front of frame. One of 2 bike stolen from Mayfair is SW  Calgary. Recovered one road bike to date.",https://files.bikeindex.org/uploads/Pu/979751/large_IMG_4628.jpeg,https://files.bikeindex.org/uploads/Pu/979751/small_IMG_4628.jpeg,https://bikeindex.org/bikes/3219217,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\afc2ea37cce0693b.jpeg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\afc2ea37cce0693b.jpeg,True,3,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | text含 frame (+1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),675,900,0.75,1.0,1.0,0.75,0.102829
bike_index,1523552,gravel bike side,2022 REI Co-op Road,REI Co-op,Road,2022,Black REI bike with a behind the seat basket that has orange connectors. Back tire doesn’t match the front and is a continental brand gravel tire. A kryptonite bike chain is locked around the frame. And a black kickstand. A silver bell is on the right side of the handlebars. The handlebars are brown from the sun.,https://files.bikeindex.org/uploads/Pu/700549/large_E72107EE-8FB7-4B04-9FD8-5B30F75872AB.jpeg,https://files.bikeindex.org/uploads/Pu/700549/small_E72107EE-8FB7-4B04-9FD8-5B30F75872AB.jpeg,https://bikeindex.org/bikes/1523552,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\73675aa50f66a9bb.jpeg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\73675aa50f66a9bb.jpeg,True,3,drop,query含 side (+4) | query含 gravel bike (+2) | text含 gravel bike (+1) | text含 frame (+1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),675,900,0.75,1.0,1.0,0.75,0.091014
bike_index,645031,road bike side,2015 Knolly Podium,Knolly,Podium,2015,"Bike is all black and has Stans FLOW rear wheel with unmarked black front wheel. Maxxis rear tire and Bontrager front tire. Mint condition Can Creek DB Coil rear shock with Rockshox Boxxer Coil front fork with NO MARKINGS on the fork lowers. Also has the sun-bleached outline of an old ""Rock'n'Road"" sticker on the right side of the frame. Diety carbon handlebars with white logos and brown steel Diety pedals. Grey grips. Had a red strap holding a small tool underneath the saddle. Has ""TRUST THE PROCESS"" written on the front fender!",https://files.bikeindex.org/uploads/Pu/178297/large_IMG_20190416_184656056.jpg,https://files.bikeindex.org/uploads/Pu/178297/small_IMG_20190416_184656056.jpg,https://bikeindex.org/bikes/645031,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\1fc1efab8a6de1d5.jpg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\1fc1efab8a6de1d5.jpg,True,3,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | text含 frame (+1) | text含 wheel (+1) | text含 pedal (-1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),675,900,0.75,1.0,0.998,0.7515,0.119425
bike_index,636218,city bike side,2016 Trek 7.2 fx series,Trek,7.2 fx series,2016,"Model Year	2016
Options	13"" Seeglass Crystal White 

15"" Seeglass Crystal White 

17"" Seeglass Crystal White 

19"" Seeglass Crystal White 

15"" Stagger Seeglass Crystal White 

17.5"" Stagger Seeglass Crystal White 

20"" Stagger Seeglass Crystal White 
Style	FX, put simply, means fitness. It offers a best-of-both-worlds combination of road bike speed and city bike comfort. Itâ��s a perfect fitness bike, and so much more.

FX is fast, fun, and agile enough for a multitude of uses. From fitness and commuting to errands and mellow Sunday loops, you'll find your ride on FX.
Frame	WSD FX Alpha Silver Aluminium, DuoTrap S compatible, rack & mudguard mounts
Rear Derailleur	
Shimano Acera
Shifters	Shimano Altus EF51, 8-speed
Chainset	Shimano M131, 48/38/28 w/chainguard
Chain	KMC Z7
Freewheel	Shimano HG31, 11-32, 8-speed
Headset	VP Slimstak, sealed semi-cartridge bearings
Stem	Bontrager Comp, 25.4mm, 10-degree
Handlebars	Bontrager Low Riser alloy, 25.4mm, 15mm rise
Front Brake	Tektro alloy linear-pull
Rear Brake	Tektro alloy linear-pull
Brake Levers	Tektro alloy
Tyres	Bontrager H2 Hard-Case Lite w/puncture resistant belt, 700x35c
Saddle	Bontrager SSR WSD
Seatpost	Bontrager SSR, 2-bolt head, 27.2mm, 12mm offset",https://files.bikeindex.org/uploads/Pu/174608/large_Screenshot_20190807-083128.png,https://files.bikeindex.org/uploads/Pu/174608/small_Screenshot_20190807-083128.png,https://bikeindex.org/bikes/636218,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\8b8384693f82d282.png,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\8b8384693f82d282.png,True,3,drop,query含 side (+4) | query含 city bike (+1) | text含 road bike (+1) | text含 frame (+1) | text含 wheel (+1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),535,900,0.5944,1.0,1.0,0.5938,0.089105
bike_index,354755,mountain bike side,Fuji,Fuji,,,"a completely custom built single speed road bike, not technically fancy, but actually quite fancy. 
the two most unique things were an ideale type record 80 saddle that is quite worn, and actually custom punched and laced underneath, just above the rails. the second thing are the custom built cherry wood fenders. they are made locally by paul sykes and says ""sykes"" on the rear fender. they have leather arrow tip shaped mud flaps, and are only wide enough to accommodate up to 700c x 25 tires. 
the frame was unpainted and unfinished with a clear sealant. 
the wheel set is a black deep v origin8 single speed set with machined side walls.
the freewheel is white industries eno, 17 tooth if i remember correctly. 
the handlebars are soma condorina bars that look like cafe racer motorcycle bars. 
the grips are worn leather PDW (portland design works.
mountain style tektro break levers. 
the tires are red-walled continental vintage/classic or whatever term they used. 
there are black power grips on the pedals. 
there was a black minihaha brand saddle bag on the back of the saddle. 
black seatpost.  
black cable housing. 
black pedals. 
silver crank, silver origin8 48 tooth cog, i believe. 
the serial number will be under the bottom bracket, but i misplaced any pictures i'd previously taken of it. ",https://files.bikeindex.org/uploads/Pu/94202/large_IMG_5848.JPG,https://files.bikeindex.org/uploads/Pu/94202/small_IMG_5848.JPG,https://bikeindex.org/bikes/354755,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\01e0ef8d2d987d21.jpg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\01e0ef8d2d987d21.jpg,True,3,drop,query含 side (+4) | query含 mountain bike (+2) | text含 road bike (+1) | text含 mountain bike (+1) | text含 frame (+1) | text含 wheel (+1) | text含 bag (-1) | text含 pedal (-1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),675,900,0.75,1.0,1.0,0.75,0.113464
bike_index,3352534,mountain bike side,2024 Trek Dual Sport 1 Mountain Bike Color Dark...,Trek,Dual Sport 1 Mountain Bike Color Dark Olive Green,2024,"Dual Sport 1  TREK Mountain Bike without shocks. Its is very dark highland green, composite frame. A yellow stripe going around the seat side edge.  I have receipts of Dealer Purchase & repairs.",https://files.bikeindex.org/uploads/Pu/1010255/large_IMG-20260215-WA0000.jpg,https://files.bikeindex.org/uploads/Pu/1010255/small_IMG-20260215-WA0000.jpg,https://bikeindex.org/bikes/3352534,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\b15d80001e35c398.jpg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\b15d80001e35c398.jpg,True,3,drop,query含 side (+4) | query含 mountain bike (+2) | text含 mountain bike (+1) | text含 frame (+1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),671,900,0.7456,1.0,0.9941,0.7485,0.104269
bike_index,783659,mountain bike side,2009 Giant CRS Zero,Giant,CRS Zero,2009,"Giant CRS Zero bike. Silver chrome aluminium frame with grey silver carbon fibre forks.

Silver handle bars with black grips and silver seat post with black saddle w/grey stripe at the back of the saddle.

Shimano Deore brakes and gears (both silver finish)

Giant Xero wheels with Onza Allegra 700x32C medium hybrid tyres. Black pedals

Silver chrome bell on left hand side of handlebars
",https://files.bikeindex.org/uploads/Pu/280880/large_WhatsApp_Image_2020-07-07_at_00.06.32.jpeg,https://files.bikeindex.org/uploads/Pu/280880/small_WhatsApp_Image_2020-07-07_at_00.06.32.jpeg,https://bikeindex.org/bikes/783659,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\7992b624c9b53f87.jpeg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\7992b624c9b53f87.jpeg,True,3,drop,query含 side (+4) | query含 mountain bike (+2) | text含 mountain bike (+1) | text含 frame (+1) | text含 wheel (+1) | text含 pedal (-1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),675,900,0.75,1.0,1.0,0.75,0.116058
bike_index,3198398,road bike side,2016 Specialized Dolce,Specialized,Dolce,2016,,https://files.bikeindex.org/uploads/Pu/969108/large_IMG_3258.jpeg,https://files.bikeindex.org/uploads/Pu/969108/small_IMG_3258.jpeg,https://bikeindex.org/bikes/3198398,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\efd1f20d9922867c.jpeg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\efd1f20d9922867c.jpeg,True,2,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),675,900,0.75,1.0,1.0,0.75,0.109075
bike_index,1449222,road bike side,2003 Gary Fisher Advance,Gary Fisher,Advance,2003,Silver Series aluminum,https://files.bikeindex.org/uploads/Pu/664564/large_Gary_Fisher_Bike.SN_Picture.JPG,https://files.bikeindex.org/uploads/Pu/664564/small_Gary_Fisher_Bike.SN_Picture.JPG,https://bikeindex.org/bikes/1449222,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\42317cc158c8e474.jpg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\42317cc158c8e474.jpg,True,2,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),675,900,0.75,1.0,1.0,0.75,0.101018
bike_index,1015898,road bike side,2010 Fuji Roubaix Acr 2.0,Fuji,Roubaix Acr 2.0,2010,"Red Gripped with MS 150 stickers on the stem. Minor rock strike on too frame on right side of bike just behind ACR wording. Gray Look pedals. Gator Skin Tires. Cateye Strada. Fuji Altair 2 custom butted aluminum Integrated 1 1/4"" lower head tube, BB-30 bb shell, Overlize seat tube, Double water bottle mounts. Rear triangle: Fuji C-4 carbon seat stays, Altair 2 aluminum ETC chain stays, Forged road dropout with replaceable derailleur hanger,",https://files.bikeindex.org/uploads/Pu/412315/large_Screenshot_20210307-232317.png,https://files.bikeindex.org/uploads/Pu/412315/small_Screenshot_20210307-232317.png,https://bikeindex.org/bikes/1015898,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\f4f014176a0e4d59.png,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\f4f014176a0e4d59.png,True,2,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | text含 frame (+1) | text含 pedal (-1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),506,900,0.5622,1.0,1.0,0.5605,0.115615
bike_index,957508,road bike side,2014 Giant Defy Composite 2,Giant,Defy Composite 2,2014,,https://files.bikeindex.org/uploads/Pu/374817/large_IMG_2637.jpeg,https://files.bikeindex.org/uploads/Pu/374817/small_IMG_2637.jpeg,https://bikeindex.org/bikes/957508,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\da275270353debe3.jpeg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\da275270353debe3.jpeg,True,2,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),675,900,0.75,1.0,1.0,0.75,0.119548
bike_index,944217,road bike side,2020 Cannondale Quick Disc 4,Cannondale,Quick Disc 4,2020,"Hot pink women's cannondale bike. non-road bike handlebars, water bottle holder in the middle. ",https://files.bikeindex.org/uploads/Pu/357892/large_IMG_1616.JPG,https://files.bikeindex.org/uploads/Pu/357892/small_IMG_1616.JPG,https://bikeindex.org/bikes/944217,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\02050aab9e955c52.jpg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\02050aab9e955c52.jpg,True,2,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),675,900,0.75,1.0,1.0,0.75,0.115957
bike_index,788944,road bike side,2004 Trek 5200 Carbon 120,Trek,5200 Carbon 120,2004,"Road-racing bike, carbon fibre  dark blue frame.  Shimano Ultegra components.  Selle Italia C2 Gel Flow Black Saddle W135xL278.  Vredestein Fortezza 700x23c Tri Comp clincher tires.  Recently installed canary yellow handlebar taping.  Shimano Ultegra two-bolt system clip in pedals.  Triple front sprocket
",https://files.bikeindex.org/uploads/Pu/285082/large_gerald_radke_police_file_20197798_additional_pictures_1_fix.jpg,https://files.bikeindex.org/uploads/Pu/285082/small_gerald_radke_police_file_20197798_additional_pictures_1_fix.jpg,https://bikeindex.org/bikes/788944,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\74e33c8ca9efb6f1.jpg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\74e33c8ca9efb6f1.jpg,True,2,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | text含 frame (+1) | text含 pedal (-1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),782,900,0.8689,1.0,1.0,0.8672,0.105434
bike_index,617231,road bike side,2019 DCO - Grey Road bike Road,DCO - Grey Road bike,Road,2019,Grey DCO road bike as seen in pics,https://files.bikeindex.org/uploads/Pu/161225/large_oco_stolen_grey_bike_.jpg,https://files.bikeindex.org/uploads/Pu/161225/small_oco_stolen_grey_bike_.jpg,https://bikeindex.org/bikes/617231,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\fe1eb0b864df19bc.jpg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\fe1eb0b864df19bc.jpg,True,2,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),675,900,0.75,1.0,1.0,0.75,0.092509
bike_index,567112,road bike side,1980 Nishiki Road bike,Nishiki,Road bike,1980,,https://files.bikeindex.org/uploads/Pu/146682/large_IMG_3282.JPG,https://files.bikeindex.org/uploads/Pu/146684/small_my_bike_was_stolen_2019.jpg,https://bikeindex.org/bikes/567112,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\659799cb7ab0a6f2.jpg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\659799cb7ab0a6f2.jpg,True,2,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),507,900,0.5633,1.0,1.0,0.5625,0.107537
bike_index,419740,road bike side,2005 Giant OCR,Giant,OCR,2005,"It is a 54cm 2005-2010 Giant OCR road bike with Origin 8 wheels and gray camouflage handlebar tape. There is a ""Pedal Power Bike Shop"" label on the down tube (highlighted yellow on the attached image) and a Cateye bike computer set up on the right side (highlighted red on the attached image). There are some small circular dents in the paint of the top tube as well.",https://files.bikeindex.org/uploads/Pu/135183/large_image1.jpg,https://files.bikeindex.org/uploads/Pu/135183/small_image1.jpg,https://bikeindex.org/bikes/419740,,来源于 Bike Index 公开 API 记录，建议仅用于研究与标注筛选。,bike_index\941c585afa8dd24f.jpg,E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\941c585afa8dd24f.jpg,True,2,drop,query含 side (+4) | query含 road bike (+2) | text含 road bike (+1) | text含 wheel (+1) | text含 pedal (-1) | 图片接近竖图或竖图 (-4) | 分辨率足够 (+1) | 主体边缘横向覆盖较宽 (+2) | 主体几乎占满垂直方向，疑似非侧视整车 (-2) | 主体边缘框偏竖向，疑似非整车侧视 (-3) | 图像边缘密度适中 (+1),506,900,0.5622,1.0,1.0,0.5605,0.110627
